CodeValue,ShortDescription,Description,Namespace
Education Organization Network,Education Organization Network,Education Organization Network,uri://ed-fi.org/EducationOrganizationCategoryDescriptor
Education Service Center,Education Service Center,Education Service Center,uri://ed-fi.org/EducationOrganizationCategoryDescriptor
Local Education Agency,Local Education Agency,Local Education Agency,uri://ed-fi.org/EducationOrganizationCategoryDescriptor
Other,Other,Other,uri://ed-fi.org/EducationOrganizationCategoryDescriptor
School,School,School,uri://ed-fi.org/EducationOrganizationCategoryDescriptor
State Education Agency,State Education Agency,State Education Agency,uri://ed-fi.org/EducationOrganizationCategoryDescriptor
Post Secondary Institution,Post Secondary Institution,Post Secondary Institution,uri://ed-fi.org/EducationOrganizationCategoryDescriptor
Organization Department,Organization Department,"An organizational unit of another education organization, often devoted to a particular academic discipline, area of study, or organization function.",uri://ed-fi.org/EducationOrganizationCategoryDescriptor
