CodeValue,ShortDescription,Description,Namespace
Weighted,Weighted,Weighted,uri://ed-fi.org/GradePointAverageTypeDescriptor
Unweighted,Unweighted,Unweighted,uri://ed-fi.org/GradePointAverageTypeDescriptor
